usuario_id,idade,sexo,estado_civil,dependentes,cidade,estado,profissao,escolaridade,renda_mensal,outras_rendas,nivel_endividamento,score_credito,saldo_medio_conta,limite_cartao,frequencia_poupanca,percentual_renda_investida,tempo_emprego_anos,possui_financiamento,possui_imovel,possui_veiculo,perfil_financeiro
1,40,Masculino,Divorciado,2,Belo Horizonte,MG,Analista de TI,Médio,9214.53,1013.56,27.98,562,3401.85,6849.44,Sempre,7.9,0.9,Não,Não,Não,Em observação
2,41,Masculino,Solteiro,2,Duque de Caxias,RJ,Recepcionista,Fundamental,1812.22,0.0,59.68,397,299.94,1343.19,Nunca,1.35,0.5,Não,Não,Sim,Em risco
3,40,Feminino,Casado,0,Guarulhos,SP,Analista de TI,Superior,7668.81,691.22,35.69,550,3406.79,11308.24,Às vezes,9.13,0.6,Sim,Não,Sim,Em observação
4,38,Masculino,Divorciado,4,Cuiabá,MT,Analista de TI,Superior,7828.2,0.0,49.59,558,2848.93,9317.56,Frequentemente,10.23,16.1,Não,Não,Sim,Em observação
5,27,Feminino,Solteiro,0,Maceió,AL,Empresário,Superior,21743.69,0.0,17.56,700,45557.9,35583.72,Sempre,12.76,0.9,Não,Sim,Não,Saudável
6,37,Masculino,Solteiro,4,São Paulo,SP,Jornalista,Pós-graduação,6253.23,2081.2,16.72,935,10805.05,10388.74,Às vezes,29.73,3.7,Não,Não,Sim,Saudável
7,55,Masculino,Solteiro,2,Juiz de Fora,MG,Engenheiro de Produção,Superior,12094.59,1416.82,8.0,1000,22691.74,16726.5,Sempre,25.63,4.5,Não,Não,Não,Saudável
8,41,Masculino,Casado,0,Anápolis,GO,Médico,Pós-graduação,14309.89,0.0,79.01,324,1872.52,7113.63,Nunca,0.22,5.5,Sim,Não,Sim,Em risco
9,68,Masculino,Solteiro,2,Salvador,BA,Gerente Comercial,Superior,11927.26,0.0,35.22,625,6423.84,14602.51,Frequentemente,4.92,24.8,Não,Não,Sim,Em observação
10,50,Masculino,Solteiro,3,Belo Horizonte,MG,Cabeleireiro,Médio,4618.06,0.0,53.79,567,2350.27,3125.67,Frequentemente,3.5,16.7,Não,Sim,Sim,Em observação
11,40,Masculino,Solteiro,1,Palmas,TO,Motoboy,Médio,3367.48,0.0,12.33,802,7658.53,7686.38,Sempre,21.31,14.6,Não,Não,Sim,Saudável
12,40,Feminino,Solteiro,2,Guarulhos,SP,Recepcionista,Médio,1570.72,0.0,79.9,300,165.29,285.9,Às vezes,1.57,14.8,Não,Não,Não,Em risco
13,36,Masculino,Casado,1,Niterói,RJ,Veterinário,Superior,4267.14,0.0,55.0,332,634.53,2712.1,Nunca,0.66,8.1,Sim,Não,Não,Em risco
14,35,Masculino,Casado,1,Feira de Santana,BA,Aposentado,Médio,5144.59,680.45,3.97,825,13206.26,8539.55,Frequentemente,21.46,11.7,Sim,Não,Não,Saudável
15,44,Feminino,Viúvo,2,Goiânia,GO,Designer Gráfico,Superior,8168.45,2478.59,11.8,887,7259.62,10333.52,Sempre,27.97,21.5,Não,Sim,Sim,Saudável
16,42,Feminino,Solteiro,1,Rio de Janeiro,RJ,Eletricista,Médio,4183.92,0.0,6.7,700,9851.58,7617.76,Frequentemente,23.39,1.8,Sim,Não,Não,Saudável
17,18,Masculino,Viúvo,0,Pelotas,RS,Engenheiro Civil,Superior,12133.27,2355.7,17.32,806,33617.14,18017.8,Frequentemente,17.58,0.0,Não,Não,Sim,Saudável
18,40,Feminino,Solteiro,0,Teresina,PI,Vendedor,Médio,2728.23,0.0,25.0,529,1124.43,3433.24,Frequentemente,5.16,3.9,Sim,Sim,Não,Em observação
19,59,Masculino,Casado,2,Santos,SP,Vendedor,Superior,3236.93,0.0,43.22,596,1778.74,3229.0,Às vezes,8.85,25.6,Não,Sim,Sim,Em observação
20,30,Masculino,Solteiro,4,Rio de Janeiro,RJ,Engenheiro de Produção,Superior,12805.87,1339.95,8.61,885,21719.15,29590.87,Sempre,26.78,12.0,Não,Não,Sim,Saudável
21,45,Feminino,Solteiro,0,Blumenau,SC,Autônomo,Pós-graduação,6020.59,799.99,30.79,645,2011.01,5301.3,Raramente,8.62,1.1,Não,Não,Não,Em observação
22,58,Feminino,Viúvo,3,Uberlândia,MG,Vendedor,Superior,4259.59,0.0,8.79,888,11105.6,6906.18,Frequentemente,10.54,25.7,Não,Sim,Não,Saudável
23,41,Masculino,Solteiro,3,Vitória,ES,Motoboy,Fundamental,3237.29,661.85,9.96,933,3107.0,6416.84,Sempre,10.0,15.8,Não,Não,Não,Saudável
24,19,Feminino,Solteiro,0,Uberlândia,MG,Funcionário Público,Superior,8556.82,0.0,37.55,574,2026.19,10087.29,Às vezes,9.7,0.3,Sim,Sim,Não,Em observação
25,34,Masculino,Divorciado,1,Belo Horizonte,MG,Advogado,Pós-graduação,16630.31,0.0,58.0,574,4130.34,9359.46,Às vezes,5.41,0.7,Não,Sim,Sim,Em observação
26,35,Masculino,Solteiro,0,Vitória,ES,Eletricista,Médio,4219.92,0.0,80.38,407,704.64,1976.26,Nunca,1.16,4.4,Sim,Sim,Não,Em risco
27,26,Masculino,União Estável,0,Florianópolis,SC,Funcionário Público,Superior,13695.12,0.0,16.51,926,13554.46,35405.34,Sempre,19.02,6.1,Não,Sim,Sim,Saudável
28,40,Feminino,União Estável,2,São Paulo,SP,Recepcionista,Superior,2735.34,0.0,49.46,628,866.08,3327.15,Raramente,2.57,22.0,Não,Sim,Não,Em observação
29,50,Masculino,Casado,2,Juazeiro do Norte,CE,Médico,Pós-graduação,26920.7,1952.78,37.73,661,14653.35,36033.72,Às vezes,2.32,27.0,Sim,Sim,Sim,Em observação
30,22,Masculino,Casado,0,São Paulo,SP,Analista Financeiro,Superior,9722.62,0.0,0.49,713,7399.22,23401.35,Sempre,16.39,2.3,Não,Sim,Não,Saudável
31,18,Feminino,Solteiro,0,Londrina,PR,Funcionário Público,Superior,8952.47,0.0,58.0,651,3888.49,12008.59,Frequentemente,12.0,0.0,Não,Sim,Sim,Em observação
32,34,Masculino,Solteiro,3,Natal,RN,Eletricista,Médio,4895.27,393.71,14.74,700,6005.13,8882.86,Sempre,19.41,5.3,Não,Não,Não,Saudável
33,30,Feminino,Solteiro,2,Curitiba,PR,Técnico em Informática,Fundamental,4399.16,0.0,0.89,996,3673.87,10270.39,Frequentemente,21.33,6.3,Não,Não,Não,Saudável
34,39,Masculino,Casado,2,Blumenau,SC,Analista de TI,Superior,7978.93,0.0,69.85,361,819.8,3492.54,Raramente,0.27,3.3,Não,Não,Sim,Em risco
35,34,Masculino,Solteiro,1,Olinda,PE,Vendedor,Médio,2480.95,0.0,89.97,334,332.99,1870.53,Nunca,1.05,0.2,Sim,Não,Não,Em risco
36,31,Masculino,Casado,4,Niterói,RJ,Professor,Fundamental,2561.57,0.0,58.56,355,146.14,1670.96,Raramente,2.11,0.6,Não,Não,Não,Em risco
37,33,Feminino,Viúvo,0,Maceió,AL,Jornalista,Superior,6581.05,0.0,10.57,771,4953.77,14729.18,Às vezes,12.66,3.7,Não,Não,Não,Saudável
38,43,Feminino,Solteiro,2,Teresina,PI,Engenheiro Civil,Superior,18958.1,0.0,26.82,892,41848.7,40388.55,Às vezes,31.68,24.9,Não,Sim,Sim,Saudável
39,40,Feminino,Casado,2,Vitória,ES,Engenheiro de Produção,Médio,10373.54,0.0,27.28,655,6327.32,7864.25,Raramente,7.83,22.0,Sim,Não,Sim,Em observação
40,38,Masculino,Solteiro,2,Manaus,AM,Recepcionista,Médio,2159.1,0.0,51.04,620,1057.55,1165.43,Raramente,7.75,7.6,Sim,Sim,Não,Em observação
41,18,Feminino,Casado,0,João Pessoa,PB,Aposentado,Médio,5508.29,1794.7,15.56,852,13622.74,8907.02,Sempre,19.99,0.0,Sim,Não,Não,Saudável
42,41,Masculino,Solteiro,0,Juazeiro do Norte,CE,Analista de TI,Superior,8063.41,343.16,42.9,527,5133.05,9716.97,Frequentemente,9.94,20.7,Sim,Não,Sim,Em observação
43,54,Feminino,Casado,1,Caxias do Sul,RS,Analista de TI,Superior,8774.55,0.0,15.9,775,5763.0,12901.51,Sempre,18.88,33.8,Não,Sim,Sim,Saudável
44,18,Feminino,Casado,0,Caxias do Sul,RS,Professor,Superior,3841.91,213.28,78.52,388,-136.23,3251.82,Nunca,1.99,0.0,Não,Não,Sim,Em risco
45,30,Masculino,Solteiro,1,Pelotas,RS,Motorista,Médio,4794.0,1410.35,9.88,700,9456.5,10806.07,Frequentemente,25.47,11.5,Sim,Não,Sim,Saudável
46,23,Masculino,Divorciado,0,Uberlândia,MG,Analista Financeiro,Pós-graduação,6406.26,474.7,25.0,566,1556.06,8560.81,Raramente,5.95,1.3,Não,Sim,Sim,Em observação
47,37,Feminino,Casado,1,Joinville,SC,Gerente Comercial,Superior,16887.15,1341.26,16.06,722,22194.56,45168.3,Frequentemente,19.76,7.9,Não,Sim,Sim,Saudável
48,29,Masculino,Casado,0,Vitória,ES,Designer Gráfico,Superior,6824.88,0.0,49.36,710,3157.49,10132.42,Às vezes,4.18,0.8,Não,Não,Sim,Em observação
49,39,Masculino,Solteiro,0,Santos,SP,Recepcionista,Médio,2777.14,0.0,55.5,541,730.65,2456.86,Às vezes,9.9,4.1,Não,Sim,Sim,Em observação
50,52,Feminino,Solteiro,0,Santos,SP,Autônomo,Fundamental,10830.3,1501.44,17.03,884,15598.53,17451.67,Às vezes,27.87,27.1,Não,Sim,Sim,Saudável
51,30,Masculino,Casado,1,Maringá,PR,Técnico em Informática,Médio,3696.15,0.0,86.13,429,-66.44,1429.62,Às vezes,1.66,2.5,Sim,Não,Não,Em risco
52,35,Masculino,Casado,0,Feira de Santana,BA,Aposentado,Médio,3684.65,0.0,71.68,390,511.28,1740.55,Raramente,1.03,8.8,Não,Não,Não,Em risco
53,42,Masculino,Solteiro,1,Vila Velha,ES,Gerente Comercial,Fundamental,10464.57,641.44,67.18,510,806.72,3749.29,Raramente,1.66,13.5,Não,Não,Sim,Em risco
54,34,Feminino,Casado,4,Maceió,AL,Farmacêutico,Superior,3322.33,126.6,74.76,368,294.93,2203.2,Raramente,1.27,4.2,Sim,Não,Sim,Em risco
55,28,Masculino,Solteiro,0,Pelotas,RS,Engenheiro Civil,Superior,10217.77,0.0,45.83,633,6620.95,9248.52,Às vezes,4.88,9.7,Não,Não,Sim,Em observação
56,58,Feminino,Casado,1,Manaus,AM,Motoboy,Fundamental,2492.75,0.0,65.99,409,175.1,1494.72,Nunca,0.13,11.4,Sim,Não,Não,Em risco
57,30,Masculino,Casado,0,Anápolis,GO,Motorista,Pós-graduação,3091.27,464.53,17.79,892,7217.97,6907.56,Frequentemente,25.73,4.3,Sim,Não,Sim,Saudável
58,43,Masculino,União Estável,3,Teresina,PI,Recepcionista,Médio,3187.16,562.13,2.44,939,2742.04,6437.46,Sempre,23.49,14.9,Não,Não,Sim,Saudável
59,21,Feminino,Solteiro,0,Porto Alegre,RS,Desenvolvedor de Software,Superior,11402.17,0.0,3.78,700,30438.03,19595.7,Frequentemente,21.02,3.0,Não,Sim,Não,Saudável
60,23,Feminino,Solteiro,0,Fortaleza,CE,Desenvolvedor de Software,Superior,12815.12,0.0,0.0,979,29271.38,19451.0,Frequentemente,17.26,4.5,Sim,Não,Não,Saudável
61,26,Feminino,União Estável,0,João Pessoa,PB,Engenheiro Civil,Superior,11017.67,0.0,31.97,571,5808.41,6301.04,Às vezes,10.7,0.6,Sim,Não,Sim,Em observação
62,18,Feminino,Viúvo,0,Londrina,PR,Professor,Superior,6519.95,0.0,18.19,836,17349.65,8505.38,Frequentemente,23.1,0.0,Não,Não,Sim,Saudável
63,24,Masculino,Casado,4,Pelotas,RS,Autônomo,Médio,4320.93,0.0,81.8,355,-52.66,1329.64,Nunca,0.55,2.2,Não,Sim,Não,Em risco
64,34,Masculino,Casado,0,Pelotas,RS,Cozinheiro,Médio,2793.71,0.0,41.37,514,1732.47,4008.9,Às vezes,5.83,7.0,Sim,Não,Não,Em observação
65,38,Masculino,Casado,0,Belém,PA,Recepcionista,Médio,3353.15,0.0,6.9,771,3226.92,6238.3,Sempre,15.2,4.3,Não,Não,Não,Saudável
66,33,Feminino,União Estável,2,Salvador,BA,Engenheiro de Produção,Superior,8531.21,0.0,44.6,586,5119.33,9320.96,Às vezes,3.79,10.5,Sim,Não,Sim,Em observação
67,39,Feminino,Divorciado,1,Salvador,BA,Autônomo,Médio,9070.6,0.0,1.93,789,23703.28,20554.5,Às vezes,27.69,17.5,Não,Sim,Não,Saudável
68,34,Outro,Solteiro,0,Florianópolis,SC,Contador,Fundamental,3918.48,284.4,80.8,347,235.43,2275.5,Nunca,1.14,7.6,Não,Não,Não,Em risco
69,25,Masculino,Casado,0,Palmas,TO,Cozinheiro,Fundamental,2733.72,0.0,15.0,936,5966.56,8147.9,Às vezes,32.0,1.5,Não,Não,Não,Saudável
70,59,Feminino,Casado,2,Natal,RN,Motorista,Médio,2257.79,0.0,79.21,394,354.61,868.45,Nunca,0.0,10.1,Não,Não,Sim,Em risco
71,30,Masculino,Casado,1,Rio de Janeiro,RJ,Motoboy,Fundamental,1940.47,0.0,55.0,394,377.96,1152.44,Nunca,1.78,2.7,Não,Sim,Sim,Em risco
72,33,Masculino,Solteiro,1,Vila Velha,ES,Farmacêutico,Superior,8406.59,1713.23,15.67,739,5657.77,15198.21,Sempre,15.93,13.9,Não,Não,Não,Saudável
73,23,Masculino,Casado,0,João Pessoa,PB,Analista de TI,Superior,8599.4,0.0,17.84,700,21516.04,19720.97,Frequentemente,10.0,0.7,Não,Sim,Sim,Saudável
74,41,Feminino,Viúvo,0,Duque de Caxias,RJ,Motoboy,Fundamental,2638.46,0.0,77.29,440,-120.05,2174.0,Raramente,1.29,8.8,Sim,Não,Sim,Em risco
75,42,Feminino,Solteiro,0,Duque de Caxias,RJ,Analista Financeiro,Superior,8740.72,0.0,56.54,637,2303.01,7254.02,Às vezes,1.15,22.6,Sim,Não,Não,Em observação
76,48,Feminino,Solteiro,0,Cuiabá,MT,Engenheiro de Produção,Médio,12943.83,0.0,41.93,594,8381.01,18655.5,Às vezes,4.6,25.8,Sim,Sim,Sim,Em observação
77,49,Masculino,Casado,1,Salvador,BA,Funcionário Público,Superior,5954.74,0.0,81.01,364,854.33,3402.22,Às vezes,0.0,11.9,Sim,Não,Não,Em risco
78,38,Feminino,Casado,1,Santos,SP,Professor,Superior,6486.23,0.0,0.79,841,14502.6,14350.99,Frequentemente,23.31,5.3,Sim,Sim,Sim,Saudável
79,35,Feminino,Casado,0,Guarulhos,SP,Analista de TI,Superior,7181.47,625.9,25.0,571,3888.21,8109.7,Às vezes,3.74,16.8,Sim,Não,Sim,Em observação
80,27,Feminino,Casado,3,Salvador,BA,Engenheiro Civil,Pós-graduação,15378.86,0.0,13.88,794,22577.2,31429.11,Frequentemente,16.08,7.1,Não,Sim,Sim,Saudável
81,32,Feminino,Solteiro,1,Belo Horizonte,MG,Professor,Médio,4019.46,0.0,76.76,385,257.48,1641.29,Nunca,0.09,3.8,Sim,Sim,Não,Em risco
82,40,Masculino,Solteiro,1,Goiânia,GO,Cozinheiro,Médio,2188.68,0.0,43.98,632,956.27,3197.81,Às vezes,6.7,20.8,Sim,Sim,Não,Em observação
83,18,Feminino,Casado,0,Guarulhos,SP,Enfermeiro,Superior,4981.2,0.0,7.48,700,10979.47,12475.83,Sempre,24.4,0.0,Não,Não,Sim,Saudável
84,50,Feminino,Divorciado,2,Guarulhos,SP,Motoboy,Fundamental,3804.15,0.0,7.31,817,4951.13,8994.52,Frequentemente,24.86,23.3,Não,Não,Não,Saudável
85,34,Feminino,Viúvo,0,Duque de Caxias,RJ,Designer Gráfico,Pós-graduação,5930.69,0.0,3.5,834,11868.41,11156.86,Às vezes,19.03,5.3,Não,Não,Não,Saudável
86,23,Outro,Casado,0,Juiz de Fora,MG,Cabeleireiro,Médio,3920.14,0.0,7.85,787,6711.28,12262.33,Frequentemente,19.91,0.2,Sim,Não,Sim,Saudável
87,18,Masculino,Solteiro,1,Londrina,PR,Motoboy,Fundamental,2517.46,341.1,36.81,660,1614.21,2057.38,Frequentemente,7.11,0.0,Sim,Não,Não,Em observação
88,40,Masculino,Divorciado,2,Juazeiro do Norte,CE,Gerente Comercial,Médio,11112.87,0.0,29.38,526,2300.84,6261.13,Raramente,3.38,22.0,Sim,Não,Sim,Em observação
89,25,Feminino,Casado,1,Duque de Caxias,RJ,Autônomo,Pós-graduação,3328.54,0.0,77.87,460,350.05,968.33,Nunca,2.37,2.2,Sim,Não,Não,Em risco
90,41,Masculino,Viúvo,0,Florianópolis,SC,Designer Gráfico,Superior,6658.68,0.0,44.21,606,1675.8,9753.63,Frequentemente,4.97,11.1,Sim,Não,Não,Em observação
91,41,Feminino,Solteiro,0,Caxias do Sul,RS,Vendedor,Médio,4989.06,828.0,19.32,700,9329.61,14623.7,Sempre,32.0,19.9,Não,Não,Não,Saudável
92,51,Masculino,Solteiro,3,Juazeiro do Norte,CE,Motorista,Superior,3064.73,0.0,38.16,710,1867.98,1596.81,Às vezes,6.58,24.6,Não,Não,Sim,Em observação
93,26,Masculino,Solteiro,0,Natal,RN,Autônomo,Médio,5995.75,0.0,58.44,452,141.83,959.44,Raramente,1.21,2.5,Não,Não,Não,Em risco
94,52,Masculino,Casado,0,Juazeiro do Norte,CE,Analista de TI,Superior,8444.33,0.0,46.37,580,2735.19,4835.31,Raramente,3.77,28.3,Sim,Não,Sim,Em observação
95,38,Feminino,Solteiro,1,Londrina,PR,Cozinheiro,Superior,2572.6,153.06,82.3,311,20.83,891.93,Raramente,0.19,6.4,Não,Não,Não,Em risco
96,45,Masculino,Casado,1,Cuiabá,MT,Empresário,Superior,20708.58,0.0,28.85,480,8743.69,24586.52,Nunca,6.55,6.8,Não,Sim,Sim,Em observação
97,40,Masculino,Solteiro,2,Vitória,ES,Eletricista,Fundamental,3735.67,0.0,52.33,480,648.53,4454.84,Nunca,5.92,7.3,Não,Sim,Não,Em observação
98,34,Masculino,Solteiro,0,São Luís,MA,Engenheiro de Produção,Superior,12635.2,0.0,41.4,550,3766.92,10075.72,Frequentemente,5.09,13.4,Sim,Não,Sim,Em observação
99,35,Masculino,Solteiro,2,São Paulo,SP,Funcionário Público,Médio,12436.45,2068.11,17.29,958,7581.25,19076.35,Sempre,25.56,17.0,Não,Não,Não,Saudável
100,25,Feminino,Divorciado,1,Rio de Janeiro,RJ,Recepcionista,Superior,2500.65,0.0,19.41,866,4253.31,5164.99,Frequentemente,19.25,2.9,Sim,Não,Sim,Saudável
101,32,Masculino,Viúvo,0,Belo Horizonte,MG,Analista Financeiro,Superior,12077.75,0.0,22.17,923,12979.11,30866.22,Frequentemente,19.55,2.0,Não,Não,Sim,Saudável
102,50,Feminino,Casado,0,Fortaleza,CE,Autônomo,Médio,8073.03,0.0,27.68,537,1065.24,5026.78,Às vezes,1.76,27.6,Sim,Sim,Sim,Em observação
103,35,Masculino,Casado,1,Maringá,PR,Empresário,Superior,26099.04,1382.65,5.04,878,45461.16,66685.25,Frequentemente,19.75,13.9,Não,Sim,Não,Saudável
104,46,Feminino,Solteiro,0,Londrina,PR,Eletricista,Médio,3784.94,0.0,45.33,596,1103.13,3440.18,Nunca,10.65,18.7,Sim,Não,Não,Em observação
105,46,Feminino,Casado,0,São Paulo,SP,Enfermeiro,Superior,2751.1,0.0,83.12,359,195.38,1852.07,Nunca,0.16,21.4,Sim,Não,Não,Em risco
106,44,Feminino,Solteiro,0,Campo Grande,MS,Eletricista,Médio,4509.69,0.0,12.36,860,10457.56,10627.52,Às vezes,14.03,17.2,Não,Não,Não,Saudável
107,28,Masculino,Solteiro,1,Vila Velha,ES,Recepcionista,Médio,2959.65,0.0,28.68,570,535.75,1505.35,Às vezes,6.46,1.5,Sim,Não,Não,Em observação
108,38,Masculino,Solteiro,0,Curitiba,PR,Recepcionista,Médio,2347.31,0.0,55.48,510,136.62,424.23,Nunca,0.0,1.4,Sim,Não,Não,Em risco
109,43,Feminino,União Estável,0,Palmas,TO,Contador,Superior,10791.63,0.0,14.6,834,12636.91,22381.75,Frequentemente,21.99,16.2,Sim,Não,Sim,Saudável
110,43,Masculino,Solteiro,1,Pelotas,RS,Recepcionista,Médio,3274.67,0.0,12.13,894,6767.17,4995.18,Frequentemente,12.24,13.0,Não,Sim,Sim,Saudável
111,45,Feminino,Casado,0,Juiz de Fora,MG,Analista de TI,Superior,9642.27,0.0,10.55,872,7809.07,19838.05,Raramente,24.28,18.5,Não,Sim,Sim,Saudável
112,46,Outro,Solteiro,2,Palmas,TO,Veterinário,Pós-graduação,8304.7,1393.01,10.73,852,22356.61,19551.3,Frequentemente,20.9,7.3,Não,Não,Sim,Saudável
113,23,Feminino,União Estável,0,São Luís,MA,Engenheiro de Produção,Pós-graduação,8409.26,0.0,83.77,377,1577.7,4685.1,Nunca,1.35,2.1,Sim,Não,Sim,Em risco
114,35,Masculino,Casado,1,Pelotas,RS,Advogado,Pós-graduação,6739.78,346.28,86.06,369,1103.69,1987.92,Nunca,0.0,9.4,Sim,Não,Não,Em risco
115,32,Masculino,Divorciado,2,Duque de Caxias,RJ,Jornalista,Superior,4617.68,618.14,48.62,483,1541.73,2499.68,Raramente,6.96,0.0,Não,Não,Não,Em observação
116,29,Feminino,Solteiro,0,João Pessoa,PB,Aposentado,Médio,3442.17,0.0,62.72,466,558.0,1534.66,Nunca,1.46,6.1,Sim,Não,Não,Em risco
117,55,Masculino,Solteiro,1,Belo Horizonte,MG,Aposentado,Médio,3386.1,0.0,55.0,426,324.87,2764.94,Nunca,0.34,9.5,Sim,Não,Não,Em risco
118,38,Masculino,Solteiro,3,João Pessoa,PB,Técnico em Informática,Médio,5820.51,0.0,5.31,927,9404.64,17705.93,Sempre,25.97,18.1,Não,Sim,Não,Saudável
119,31,Feminino,União Estável,3,Vila Velha,ES,Eletricista,Pós-graduação,3577.63,0.0,61.8,425,668.2,1779.45,Nunca,2.14,7.3,Sim,Não,Sim,Em risco
120,19,Masculino,Divorciado,0,Teresina,PI,Aposentado,Pós-graduação,5507.7,0.0,36.79,590,2727.14,7980.13,Raramente,4.02,1.0,Não,Não,Sim,Em observação
121,24,Masculino,Casado,2,Pelotas,RS,Farmacêutico,Superior,3814.02,0.0,62.85,461,603.41,2991.19,Nunca,2.35,0.2,Não,Não,Não,Em risco
122,52,Feminino,Divorciado,1,João Pessoa,PB,Estudante,Médio,1412.0,0.0,56.82,361,82.17,889.29,Nunca,1.55,10.1,Sim,Não,Não,Em risco
123,23,Feminino,Divorciado,0,Rio de Janeiro,RJ,Corretor de Imóveis,Médio,9836.65,1307.25,15.65,860,7362.79,22008.54,Às vezes,19.71,0.7,Não,Sim,Não,Saudável
124,30,Feminino,Casado,0,Fortaleza,CE,Motoboy,Fundamental,2907.33,566.67,23.91,747,5945.09,9120.51,Frequentemente,13.98,1.0,Sim,Não,Não,Saudável
125,40,Masculino,Casado,0,Caxias do Sul,RS,Autônomo,Médio,5799.78,0.0,6.31,937,11263.27,10589.32,Frequentemente,26.08,19.9,Não,Não,Sim,Saudável
126,44,Feminino,Casado,2,Rio de Janeiro,RJ,Empresário,Superior,21136.48,0.0,43.07,576,8890.2,16452.88,Às vezes,5.87,10.8,Não,Sim,Sim,Em observação
127,27,Masculino,União Estável,1,Belém,PA,Desenvolvedor de Software,Superior,5987.59,0.0,73.31,492,-285.83,3368.72,Raramente,0.41,1.6,Sim,Sim,Sim,Em risco
128,42,Feminino,Solteiro,0,Campo Grande,MS,Corretor de Imóveis,Médio,3760.24,0.0,81.82,493,382.35,2335.15,Nunca,0.56,14.8,Não,Não,Não,Em risco
129,21,Masculino,Divorciado,0,São Luís,MA,Autônomo,Médio,8473.25,0.0,13.45,813,22248.1,20072.26,Frequentemente,16.28,1.5,Não,Não,Não,Saudável
130,35,Masculino,Solteiro,2,Olinda,PE,Jornalista,Superior,5514.7,0.0,53.08,709,3391.29,3145.62,Frequentemente,3.7,8.0,Sim,Sim,Sim,Em observação
131,29,Masculino,União Estável,0,Belém,PA,Técnico em Informática,Médio,4728.88,0.0,40.04,694,1149.73,3194.08,Raramente,2.95,2.2,Sim,Não,Não,Em observação
132,44,Feminino,Solteiro,0,Feira de Santana,BA,Empresário,Superior,21068.12,4308.47,18.78,700,29038.95,60193.96,Sempre,23.2,24.7,Não,Não,Sim,Saudável
133,39,Masculino,Viúvo,0,Manaus,AM,Analista Financeiro,Superior,10593.22,0.0,0.0,845,10873.93,30907.13,Sempre,32.0,18.9,Não,Não,Sim,Saudável
134,24,Masculino,Solteiro,2,Uberlândia,MG,Eletricista,Médio,4593.26,0.0,14.51,840,4386.55,6279.49,Raramente,30.47,6.0,Sim,Sim,Sim,Saudável
135,35,Masculino,Casado,0,Campo Grande,MS,Cozinheiro,Médio,1577.94,58.97,71.3,359,299.75,917.43,Raramente,0.24,4.4,Sim,Não,Não,Em risco
136,38,Feminino,Viúvo,1,Vitória,ES,Advogado,Médio,17628.91,1491.73,2.92,746,23655.43,26190.99,Sempre,21.53,8.2,Sim,Não,Sim,Saudável
137,18,Feminino,Divorciado,0,Anápolis,GO,Contador,Superior,6999.59,0.0,42.34,710,3351.04,5449.88,Nunca,8.88,0.0,Não,Não,Não,Em observação
138,37,Feminino,Divorciado,1,Anápolis,GO,Motorista,Pós-graduação,2627.68,0.0,51.01,541,823.26,3636.42,Frequentemente,5.81,1.3,Sim,Não,Não,Em observação
139,43,Feminino,Casado,0,Niterói,RJ,Estudante,Médio,1412.0,0.0,40.4,572,915.61,1574.33,Raramente,10.04,9.1,Sim,Não,Sim,Em observação
140,30,Masculino,Casado,2,Brasília,DF,Vendedor,Médio,1616.31,0.0,55.0,435,114.75,248.46,Raramente,0.0,2.4,Não,Não,Não,Em risco
141,46,Masculino,Casado,0,Guarulhos,SP,Jornalista,Superior,4681.26,0.0,84.47,477,-35.25,1341.1,Às vezes,1.36,17.9,Não,Não,Não,Em risco
142,40,Masculino,Solteiro,1,Campinas,SP,Eletricista,Médio,5798.08,761.19,18.59,773,6559.38,9449.86,Frequentemente,13.95,11.7,Não,Sim,Sim,Saudável
143,27,Masculino,Casado,2,Belo Horizonte,MG,Cozinheiro,Pós-graduação,2542.13,0.0,53.67,524,1567.19,3050.59,Raramente,8.67,1.9,Sim,Não,Sim,Em observação
144,19,Masculino,Divorciado,0,Goiânia,GO,Engenheiro Civil,Superior,17290.09,0.0,16.33,744,26819.73,21825.25,Frequentemente,28.61,1.0,Sim,Sim,Sim,Saudável
145,39,Feminino,Viúvo,3,Belo Horizonte,MG,Jornalista,Superior,6587.91,2110.03,10.16,787,12311.13,8791.64,Às vezes,23.87,7.2,Não,Não,Não,Saudável
146,25,Feminino,Solteiro,2,Campinas,SP,Cabeleireiro,Médio,4950.16,0.0,10.29,927,5496.86,6082.57,Sempre,12.13,6.1,Não,Sim,Não,Saudável
147,50,Masculino,Viúvo,1,Anápolis,GO,Autônomo,Médio,6588.56,980.3,58.0,568,3222.26,6115.2,Raramente,10.69,30.6,Não,Não,Sim,Em observação
